STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons,Latitude,Longitude,Total Crimes Weigt,Cardinal Direction,Crime Weight Per Population
PUNJAB,2006,442,418,130,314,60,801,2,2167,13956000,12104000,26060000,31.51997398,75.98000281,16933,N,0.0006497697620874904
PUNJAB,2007,519,545,133,427,48,971,0,2643,14146000,12245000,26391000,31.51997398,75.98000281,20422,N,0.0007738244098366867
PUNJAB,2008,517,514,128,388,49,984,0,2580,14335000,12386000,26721000,31.51997398,75.98000281,19854,N,0.000743011114853486
PUNJAB,2009,511,513,126,319,33,1061,0,2563,14523000,12525000,27048000,31.51997398,75.98000281,19562,N,0.0007232327713694173
PUNJAB,2010,546,576,121,349,38,1163,0,2793,14707000,12661000,27368000,31.51997398,75.98000281,21113,N,0.0007714484068985677
PUNJAB,2011,479,517,143,282,31,1136,0,2588,14886000,12792000,27678000,31.51997398,75.98000281,19411,N,0.0007013151239251391
PUNJAB,2012,680,689,118,340,31,1293,0,3151,15061000,12920000,27981000,31.51997398,75.98000281,24532,N,0.0008767377863550266
PUNJAB,2013,888,987,126,1045,67,1741,0,4854,15233000,13046000,28279000,31.51997398,75.98000281,35729,N,0.0012634463736341454
PUNJAB,2014,981,1176,90,1113,35,1681,0,5076,15401000,13167000,28568000,31.51997398,75.98000281,38538,N,0.001348991879025483
RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,12057,29420000,27087000,56507000,27.0238,74.2179,74189,W,0.0013129169837365281
RAJASTHAN,2002,1051,2019,399,2730,44,5691,0,11934,30031000,27633000,57664000,27.0238,74.2179,72795,W,0.0012623994173140954
RAJASTHAN,2003,1050,1750,389,2715,33,5733,1,11671,30644000,28181000,58825000,27.0238,74.2179,69968,W,0.0011894262643433915
RAJASTHAN,2004,1038,1881,379,2825,41,6781,1,12946,31256000,28728000,59984000,27.0238,74.2179,74666,W,0.0012447652707388637
RAJASTHAN,2005,993,1549,361,2503,28,5997,0,11431,31864000,29272000,61136000,27.0238,74.2179,66390,W,0.0010859395446218268
RAJASTHAN,2006,1085,1553,394,2582,31,7038,3,12686,32466000,29811000,62277000,27.0238,74.2179,71862,W,0.0011539091478394914
RAJASTHAN,2007,1238,1694,439,2477,28,8170,0,14046,33062000,30345000,63407000,27.0238,74.2179,79074,W,0.0012470862838487864
RAJASTHAN,2008,1355,1863,439,2520,19,8113,0,14309,33656000,30877000,64533000,27.0238,74.2179,82536,W,0.001278973548417089
RAJASTHAN,2009,1519,2310,436,2485,24,10371,0,17145,34245000,31405000,65650000,27.0238,74.2179,96035,W,0.0014628332063975629
RAJASTHAN,2010,1571,2477,462,2339,23,11145,0,18017,34825000,31925000,66750000,27.0238,74.2179,100464,W,0.0015050786516853933
RAJASTHAN,2011,1800,2713,514,2447,9,12218,0,19701,35394000,32436000,67830000,27.0238,74.2179,110756,W,0.0016328468229397021
RAJASTHAN,2012,2049,2697,478,2352,18,13312,0,20906,35954000,32938000,68892000,27.0238,74.2179,116625,W,0.0016928670963246822
RAJASTHAN,2013,3285,4047,453,4829,25,15094,1,27734,36506000,33434000,69940000,27.0238,74.2179,166052,W,0.002374206462682299
RAJASTHAN,2014,3759,4421,408,5999,18,15905,0,30510,37048000,33921000,70969000,27.0238,74.2179,184479,W,0.002599430737364201
SIKKIM,2001,8,2,0,0,14,0,0,24,288000,252000,540000,27.3333303,88.6166475,182,NE,0.00033703703703703706
SIKKIM,2002,6,2,0,17,0,3,0,28,292000,255000,547000,27.3333303,88.6166475,204,NE,0.0003729433272394881
SIKKIM,2003,10,0,0,25,0,1,0,36,296000,259000,555000,27.3333303,88.6166475,278,NE,0.000500900900900901
SIKKIM,2004,3,4,0,40,0,1,0,48,299000,262000,561000,27.3333303,88.6166475,288,NE,0.0005133689839572192
SIKKIM,2005,18,2,0,38,0,4,0,62,303000,266000,569000,27.3333303,88.6166475,492,NE,0.0008646748681898067
SIKKIM,2006,20,7,0,14,0,6,0,47,307000,269000,576000,27.3333303,88.6166475,458,NE,0.0007951388888888888
SIKKIM,2007,24,9,0,13,0,7,0,53,310000,273000,583000,27.3333303,88.6166475,536,NE,0.0009193825042881647
SIKKIM,2008,20,4,0,19,0,5,0,48,314000,276000,590000,27.3333303,88.6166475,450,NE,0.0007627118644067797
SIKKIM,2009,18,6,0,10,0,6,0,40,318000,280000,598000,27.3333303,88.6166475,398,NE,0.0006655518394648829
SIKKIM,2010,18,6,1,11,0,3,0,39,321000,284000,605000,27.3333303,88.6166475,409,NE,0.0006760330578512397
SIKKIM,2011,16,10,0,24,0,4,0,54,325000,287000,612000,27.3333303,88.6166475,472,NE,0.0007712418300653595
SIKKIM,2012,34,10,1,19,0,4,0,68,329000,291000,620000,27.3333303,88.6166475,732,NE,0.0011806451612903226
SIKKIM,2013,43,16,0,29,0,5,0,93,332000,294000,626000,27.3333303,88.6166475,965,NE,0.0015415335463258785
SIKKIM,2014,47,12,0,34,3,5,0,101,336000,297000,633000,27.3333303,88.6166475,1019,NE,0.0016097946287519746
TAMIL NADU,2001,423,607,191,1773,1012,815,14,4835,31401000,31005000,62406000,11.1271,78.6569,29766,S,0.00047697336794538987
TAMIL NADU,2002,534,714,243,1877,1718,1052,0,6138,31685000,31304000,62989000,11.1271,78.6569,36490,S,0.0005793074981345949
TAMIL NADU,2003,557,632,220,2022,881,1555,1,5868,31959000,31593000,63552000,11.1271,78.6569,35403,S,0.0005570713746223565
TAMIL NADU,2004,618,692,225,1861,1081,1437,0,5914,32224000,31872000,64096000,11.1271,78.6569,36424,S,0.00056827259111333
TAMIL NADU,2005,571,783,215,1764,665,1650,0,5648,32481000,32142000,64623000,11.1271,78.6569,35385,S,0.0005475604660879253
TAMIL NADU,2006,457,718,187,1179,852,1248,0,4641,32730000,32405000,65135000,11.1271,78.6569,29035,S,0.00044576648499270745
TAMIL NADU,2007,523,1097,208,1540,875,1976,0,6219,32971000,32658000,65629000,11.1271,78.6569,38188,S,0.0005818769141690411
TAMIL NADU,2008,573,1160,207,1705,974,1648,0,6267,33203000,32903000,66106000,11.1271,78.6569,39691,S,0.0006004144858257949
TAMIL NADU,2009,596,1133,194,1242,501,1460,0,5126,33426000,33140000,66566000,11.1271,78.6569,35273,S,0.0005298951416639125
TAMIL NADU,2010,686,1464,165,1405,638,1570,0,5928,33643000,33369000,67012000,11.1271,78.6569,41054,S,0.0006126365427087686
TAMIL NADU,2011,677,1743,152,1467,464,1812,0,6315,33852000,33592000,67444000,11.1271,78.6569,44028,S,0.0006528082557380938
TAMIL NADU,2012,737,1693,110,1494,382,1965,0,6381,34054000,33808000,67862000,11.1271,78.6569,44146,S,0.0006505260676077923
TAMIL NADU,2013,923,1516,118,1271,313,2471,0,6612,34248000,34017000,68265000,11.1271,78.6569,45482,S,0.0006662565004028418
TAMIL NADU,2014,455,1502,95,1102,229,2103,0,5486,34435000,34218000,68653000,11.1271,78.6569,35776,S,0.000521113425487597
TRIPURA,2001,102,35,16,58,0,227,0,438,1642000,1557000,3199000,23.83540428,91.27999914,3091,NE,0.0009662394498280713
TRIPURA,2002,108,48,16,128,0,236,0,536,1663000,1587000,3250000,23.83540428,91.27999914,3688,NE,0.0011347692307692309
TRIPURA,2003,114,29,20,127,0,247,0,537,1684000,1599000,3283000,23.83540428,91.27999914,3676,NE,0.0011197075845263478
TRIPURA,2004,160,54,20,134,0,302,0,670,1705000,1620000,3325000,23.83540428,91.27999914,4816,NE,0.0014484210526315789
TRIPURA,2005,162,43,34,161,1,439,0,840,1725000,1640000,3365000,23.83540428,91.27999914,5495,NE,0.0016329866270430907
TRIPURA,2006,189,62,35,207,0,471,0,964,1746000,1661000,3407000,23.83540428,91.27999914,6428,NE,0.0018867038450249487
TRIPURA,2007,157,81,36,244,4,545,0,1067,1767000,1682000,3449000,23.83540428,91.27999914,6572,NE,0.0019054798492316614
TRIPURA,2008,204,110,16,346,4,735,0,1415,1788000,1703000,3491000,23.83540428,91.27999914,8347,NE,0.0023910054425666
TRIPURA,2009,190,92,29,384,5,815,0,1515,1809000,1724000,3533000,23.83540428,91.27999914,8585,NE,0.002429946221341636
TRIPURA,2010,238,91,25,376,9,937,0,1676,1830000,1744000,3574000,23.83540428,91.27999914,9573,NE,0.002678511471740347
TRIPURA,2011,205,116,30,294,9,702,0,1356,1851000,1765000,3616000,23.83540428,91.27999914,8288,NE,0.0022920353982300887
TRIPURA,2012,229,114,37,314,7,858,0,1559,1872000,1786000,3658000,23.83540428,91.27999914,9295,NE,0.002541006014215418
TRIPURA,2013,233,124,29,407,7,827,0,1627,1893000,1807000,3700000,23.83540428,91.27999914,9707,NE,0.0026235135135135135
TRIPURA,2014,239,102,33,492,11,702,0,1579,1914000,1828000,3742000,23.83540428,91.27999914,9699,NE,0.00259192944949225
UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,19858,87565000,78633000,166198000,27.59998069,78.05000565,135495,C,0.0008152625182011817
UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0,15317,89337000,80211000,169548000,27.59998069,78.05000565,106023,C,0.0006253273409300022
UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0,12426,91132000,81812000,172944000,27.59998069,78.05000565,76763,C,0.0004438604403737626
UTTAR PRADESH,2004,1397,2324,1708,1900,2682,4950,3,14964,92943000,83431000,176374000,27.59998069,78.05000565,102241,C,0.0005796829464660324
UTTAR PRADESH,2005,1217,2256,1564,1835,2881,4505,0,14258,94765000,85060000,179825000,27.59998069,78.05000565,95608,C,0.000531672459335465
UTTAR PRADESH,2006,1314,2551,1798,2096,2714,5204,0,15677,96589000,86693000,183282000,27.59998069,78.05000565,106424,C,0.0005806571294507917
UTTAR PRADESH,2007,1648,3363,2076,2522,2882,7650,0,20141,98421000,88335000,186756000,27.59998069,78.05000565,133696,C,0.0007158859688577609
UTTAR PRADESH,2008,1871,4439,2237,2955,3374,8312,0,23188,100264000,89989000,190253000,27.59998069,78.05000565,155843,C,0.0008191355721066159
UTTAR PRADESH,2009,1759,5078,2232,2782,2524,8566,0,22941,102113000,91650000,193763000,27.59998069,78.05000565,157825,C,0.0008145259930946568
UTTAR PRADESH,2010,1563,5468,2217,2793,11,7978,0,20030,103960000,93311000,197271000,27.59998069,78.05000565,149312,C,0.0007568877331184005
UTTAR PRADESH,2011,2042,7525,2322,3455,3,7121,0,22468,105798000,94966000,200764000,27.59998069,78.05000565,179357,C,0.0008933723177462095
UTTAR PRADESH,2012,1963,7910,2244,3247,8,7661,0,23033,107632000,96618000,204250000,27.59998069,78.05000565,181447,C,0.0008883574051407588
UTTAR PRADESH,2013,3050,9737,2335,7303,25,8781,0,31231,107632000,98273000,205905000,27.59998069,78.05000565,241078,C,0.0011708214953497973
UTTAR PRADESH,2014,3467,10626,2469,8605,29,10471,0,35667,111294000,99923000,211217000,27.59998069,78.05000565,269825,C,0.001277477665150059
UTTARAKHAND,2001,74,126,56,103,84,301,0,744,4326000,4163000,8489000,30.32040895,78.05000565,4880,N,0.0005748615855813405
UTTARAKHAND,2002,89,155,66,145,97,316,1,869,4400000,4234000,8634000,30.32040895,78.05000565,5849,N,0.000677438035672921
UTTARAKHAND,2003,107,134,93,136,98,317,0,885,4474000,4306000,8780000,30.32040895,78.05000565,6265,N,0.0007135535307517084
UTTARAKHAND,2004,115,127,82,143,110,405,0,982,4549000,4377000,8926000,30.32040895,78.05000565,6485,N,0.0007265292404212414
UTTARAKHAND,2005,133,125,63,100,89,272,0,782,4624000,4449000,9073000,30.32040895,78.05000565,5773,N,0.0006362834784525515
UTTARAKHAND,2006,147,183,80,153,113,358,0,1034,4699000,4520000,9219000,30.32040895,78.05000565,7413,N,0.0008041002277904328
UTTARAKHAND,2007,117,227,70,146,63,463,0,1086,4774000,4591000,9365000,30.32040895,78.05000565,7383,N,0.000788360918312867
UTTARAKHAND,2008,87,222,73,120,306,340,0,1148,4849000,4662000,9511000,30.32040895,78.05000565,7158,N,0.0007526022500262854
UTTARAKHAND,2009,111,247,94,119,249,361,0,1181,4924000,4732000,9656000,30.32040895,78.05000565,7970,N,0.0008253935376967688
UTTARAKHAND,2010,121,249,75,125,165,334,0,1069,4998000,4802000,9800000,30.32040895,78.05000565,7552,N,0.0007706122448979592
UTTARAKHAND,2011,129,283,83,116,72,307,0,990,5072000,4871000,9943000,30.32040895,78.05000565,7727,N,0.0007771296389419692
UTTARAKHAND,2012,148,256,71,139,73,368,0,1055,5145000,4939000,10084000,30.32040895,78.05000565,7863,N,0.0007797500991669973
UTTARAKHAND,2013,228,633,43,295,72,435,0,1706,5217000,5006000,10223000,30.32040895,78.05000565,13391,N,0.0013098894649320161
UTTARAKHAND,2014,270,275,38,343,4,301,0,1231,5290000,5073000,10363000,30.32040895,78.05000565,10000,N,0.0009649715333397665
WEST BENGAL,2001,709,695,265,954,48,3859,3,6533,41466000,38710000,80176000,22.58039044,88.32994665,38081,E,0.0004749675713430453
WEST BENGAL,2002,759,694,273,964,34,4069,1,6794,42009000,39269000,81278000,22.58039044,88.32994665,39559,E,0.0004867122714633726
WEST BENGAL,2003,1002,801,329,1186,71,4948,1,8338,42523000,39798000,82321000,22.58039044,88.32994665,48972,E,0.0005948907326198662
WEST BENGAL,2004,1475,1018,396,1566,64,6334,12,10865,43013000,40303000,83316000,22.58039044,88.32994665,65389,E,0.000784831244898939
WEST BENGAL,2005,1686,1039,446,1572,54,6936,61,11794,43486000,40791000,84277000,22.58039044,88.32994665,71810,E,0.0008520711463388588
WEST BENGAL,2006,1731,1199,445,1837,63,7414,1,12690,43947000,41268000,85215000,22.58039044,88.32994665,76256,E,0.0008948659273602065
WEST BENGAL,2007,2106,1590,451,2281,99,9900,5,16432,44394000,41731000,86125000,22.58039044,88.32994665,95707,E,0.0011112568940493468
WEST BENGAL,2008,2263,1907,451,2396,94,13663,5,20779,44820000,42174000,86994000,22.58039044,88.32994665,113081,E,0.0012998712554888844
WEST BENGAL,2009,2336,2187,506,1942,108,16112,5,23196,45234000,42605000,87839000,22.58039044,88.32994665,122920,E,0.0013993784082241374
WEST BENGAL,2010,2311,2764,507,2465,163,17796,8,26014,45640000,43029000,88669000,22.58039044,88.32994665,136192,E,0.0015359595800110524
WEST BENGAL,2011,2363,3711,510,2363,200,19772,0,28919,46045000,43454000,89499000,22.58039044,88.32994665,151936,E,0.0016976279064570554
WEST BENGAL,2012,2046,4168,593,3345,556,19865,12,30585,46445000,43874000,90319000,22.58039044,88.32994665,159373,E,0.0017645567377849623
WEST BENGAL,2013,1685,3830,481,4913,577,18116,9,29611,46836000,44287000,91123000,22.58039044,88.32994665,151524,E,0.0016628513108655333
WEST BENGAL,2014,1466,4976,501,5670,543,23278,4,36438,47223000,44697000,91920000,22.58039044,88.32994665,179118,E,0.0019486292428198433
A & N ISLANDS,2001,3,2,0,19,1,9,0,34,193000,163000,356000,11.66702557,92.73598262,190,E,0.0005337078651685394
A & N ISLANDS,2002,2,1,0,17,3,4,0,27,201000,165000,366000,11.66702557,92.73598262,146,E,0.00039890710382513663
A & N ISLANDS,2003,2,2,0,9,2,7,0,22,209000,169000,378000,11.66702557,92.73598262,122,E,0.00032275132275132277
A & N ISLANDS,2004,10,3,0,6,3,5,0,27,217000,174000,391000,11.66702557,92.73598262,234,E,0.00059846547314578
A & N ISLANDS,2005,4,1,0,11,1,5,0,22,224000,181000,405000,11.66702557,92.73598262,143,E,0.0003530864197530864
A & N ISLANDS,2006,6,5,0,14,4,7,0,36,231000,188000,419000,11.66702557,92.73598262,243,E,0.0005799522673031026
A & N ISLANDS,2007,3,9,1,21,2,18,0,54,238000,196000,434000,11.66702557,92.73598262,315,E,0.0007258064516129033
A & N ISLANDS,2008,12,13,2,24,3,26,0,80,244000,205000,449000,11.66702557,92.73598262,547,E,0.0012182628062360802
A & N ISLANDS,2009,18,14,1,30,7,21,0,91,250000,215000,465000,11.66702557,92.73598262,659,E,0.001417204301075269
A & N ISLANDS,2010,24,8,0,31,10,9,0,82,256000,224000,480000,11.66702557,92.73598262,652,E,0.0013583333333333334
A & N ISLANDS,2011,13,12,0,15,3,5,0,48,261000,233000,494000,11.66702557,92.73598262,414,E,0.0008380566801619434
A & N ISLANDS,2012,12,7,2,17,4,5,0,47,266000,241000,507000,11.66702557,92.73598262,392,E,0.0007731755424063117
A & N ISLANDS,2013,27,12,1,45,8,9,0,102,271000,250000,521000,11.66702557,92.73598262,816,E,0.0015662188099808062
A & N ISLANDS,2014,32,17,3,41,5,14,0,112,275000,257000,532000,11.66702557,92.73598262,957,E,0.0017988721804511278
CHANDIGARH,2001,18,50,3,24,15,36,0,146,507000,394000,901000,30.71999697,76.78000565,1088,N,0.0012075471698113208
CHANDIGARH,2002,18,47,1,36,28,56,0,186,523000,400000,923000,30.71999697,76.78000565,1187,N,0.00128602383531961
CHANDIGARH,2003,18,28,1,11,4,93,0,155,544000,412000,956000,30.71999697,76.78000565,911,N,0.000952928870292887
CHANDIGARH,2004,19,43,6,20,18,73,0,179,571000,430000,1001000,30.71999697,76.78000565,1178,N,0.0011768231768231768
CHANDIGARH,2005,33,45,3,31,9,75,0,196,600000,450000,1050000,30.71999697,76.78000565,1397,N,0.0013304761904761905
CHANDIGARH,2006,19,57,10,20,13,102,0,221,632000,471000,1103000,30.71999697,76.78000565,1450,N,0.001314596554850408
CHANDIGARH,2007,22,46,1,32,11,112,0,224,667000,495000,1162000,30.71999697,76.78000565,1334,N,0.0011480206540447505
CHANDIGARH,2008,20,42,3,19,2,49,0,135,705000,522000,1227000,30.71999697,76.78000565,1013,N,0.0008255908720456398
CHANDIGARH,2009,29,36,2,26,2,51,0,146,747000,550000,1297000,30.71999697,76.78000565,1114,N,0.000858905165767155
CHANDIGARH,2010,31,28,5,29,4,41,0,138,789000,579000,1368000,30.71999697,76.78000565,1100,N,0.000804093567251462
CHANDIGARH,2011,27,46,2,21,12,46,0,154,832000,606000,1438000,30.71999697,76.78000565,1174,N,0.0008164116828929068
CHANDIGARH,2012,27,66,5,45,25,73,0,241,876000,632000,1508000,30.71999697,76.78000565,1659,N,0.0011001326259946949
CHANDIGARH,2013,45,174,1,143,26,92,0,481,921000,659000,1580000,30.71999697,76.78000565,3499,N,0.0022145569620253165
CHANDIGARH,2014,59,133,2,87,2,141,0,424,967000,684000,1651000,30.71999697,76.78000565,3109,N,0.0018831011508176863
D & N HAVELI,2001,6,2,0,7,0,4,0,19,122000,99000,221000,20.26657819,73.0166178,157,W,0.0007104072398190045
D & N HAVELI,2002,4,5,0,3,0,3,0,15,128000,94000,222000,20.26657819,73.0166178,134,W,0.0006036036036036036
D & N HAVELI,2003,1,4,0,4,0,2,0,11,135000,94000,229000,20.26657819,73.0166178,81,W,0.0003537117903930131
D & N HAVELI,2004,7,7,0,5,0,3,0,22,142000,97000,239000,20.26657819,73.0166178,209,W,0.0008744769874476987
D & N HAVELI,2005,5,9,0,5,0,5,0,24,150000,103000,253000,20.26657819,73.0166178,205,W,0.0008102766798418973
D & N HAVELI,2006,6,14,1,5,1,5,0,32,157000,109000,266000,20.26657819,73.0166178,288,W,0.0010827067669172932
D & N HAVELI,2007,7,6,0,0,0,3,0,16,164000,117000,281000,20.26657819,73.0166178,174,W,0.0006192170818505338
D & N HAVELI,2008,6,11,0,4,0,4,0,25,172000,127000,299000,20.26657819,73.0166178,232,W,0.0007759197324414715
D & N HAVELI,2009,4,9,0,2,1,3,0,19,179000,139000,318000,20.26657819,73.0166178,172,W,0.0005408805031446541
D & N HAVELI,2010,3,10,0,11,2,3,0,29,187000,150000,337000,20.26657819,73.0166178,215,W,0.0006379821958456973
D & N HAVELI,2011,4,8,0,2,0,3,0,17,194000,160000,354000,20.26657819,73.0166178,159,W,0.00044915254237288133
D & N HAVELI,2012,3,9,0,2,0,0,0,14,201000,169000,370000,20.26657819,73.0166178,145,W,0.0003918918918918919
D & N HAVELI,2013,5,11,0,1,1,1,0,19,208000,178000,386000,20.26657819,73.0166178,196,W,0.0005077720207253886
D & N HAVELI,2014,5,7,0,2,1,6,0,21,215000,187000,402000,20.26657819,73.0166178,176,W,0.00043781094527363184
DAMAN & DIU,2001,0,3,0,0,0,4,0,7,93000,66000,159000,20.227,73.0169,42,W,0.0002641509433962264
DAMAN & DIU,2002,0,2,0,0,0,3,0,5,100000,71000,171000,20.227,73.0169,29,W,0.0001695906432748538
DAMAN & DIU,2003,5,1,1,3,0,0,0,10,107000,75000,182000,20.227,73.0169,115,W,0.0006318681318681319
DAMAN & DIU,2004,1,0,0,1,0,4,0,6,115000,79000,194000,20.227,73.0169,32,W,0.00016494845360824742
DAMAN & DIU,2005,2,2,1,1,0,3,0,9,123000,82000,205000,20.227,73.0169,79,W,0.0003853658536585366
DAMAN & DIU,2006,3,1,0,2,0,2,0,8,131000,85000,216000,20.227,73.0169,71,W,0.0003287037037037037
DAMAN & DIU,2007,1,1,1,0,0,3,0,6,139000,88000,227000,20.227,73.0169,49,W,0.0002158590308370044
DAMAN & DIU,2008,0,1,0,2,1,5,0,9,148000,89000,237000,20.227,73.0169,38,W,0.00016033755274261603
DAMAN & DIU,2009,1,0,0,4,1,3,0,9,157000,91000,248000,20.227,73.0169,47,W,0.00018951612903225806
DAMAN & DIU,2010,1,2,0,2,0,3,0,8,166000,93000,259000,20.227,73.0169,54,W,0.00020849420849420848
DAMAN & DIU,2011,1,2,0,0,0,2,0,5,175000,95000,270000,20.227,73.0169,41,W,0.00015185185185185185
DAMAN & DIU,2012,5,0,0,0,0,3,0,8,184000,97000,281000,20.227,73.0169,84,W,0.000298932384341637
DAMAN & DIU,2013,8,6,0,2,0,2,0,18,193000,99000,292000,20.227,73.0169,196,W,0.0006712328767123287
DAMAN & DIU,2014,2,1,0,3,0,1,0,7,203000,102000,305000,20.227,73.0169,58,W,0.0001901639344262295
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,31000,30000,61000,10.5593,72.6358,0,S,0.0
LAKSHADWEEP,2002,1,0,0,1,0,0,0,2,32000,32000,64000,10.5593,72.6358,20,S,0.0003125
LAKSHADWEEP,2003,2,0,0,1,0,1,0,4,34000,33000,67000,10.5593,72.6358,38,S,0.0005671641791044777
LAKSHADWEEP,2004,0,0,0,0,0,1,0,1,34000,34000,68000,10.5593,72.6358,3,S,4.411764705882353e-05
LAKSHADWEEP,2005,0,0,0,0,0,0,0,0,35000,35000,70000,10.5593,72.6358,0,S,0.0
LAKSHADWEEP,2006,0,0,0,0,0,1,0,1,36000,36000,72000,10.5593,72.6358,3,S,4.1666666666666665e-05
LAKSHADWEEP,2007,1,0,0,2,0,2,0,5,37000,37000,74000,10.5593,72.6358,31,S,0.00041891891891891893
LAKSHADWEEP,2008,2,1,0,0,0,1,0,4,37000,37000,74000,10.5593,72.6358,43,S,0.0005810810810810811
LAKSHADWEEP,2009,1,0,0,0,0,0,0,1,37000,37000,74000,10.5593,72.6358,15,S,0.0002027027027027027
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0,38000,38000,76000,10.5593,72.6358,0,S,0.0
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0,38000,38000,76000,10.5593,72.6358,0,S,0.0
LAKSHADWEEP,2012,0,0,0,1,0,1,0,2,38000,39000,77000,10.5593,72.6358,8,S,0.0001038961038961039
LAKSHADWEEP,2013,2,0,0,1,0,0,0,3,38000,39000,77000,10.5593,72.6358,35,S,0.00045454545454545455
LAKSHADWEEP,2014,1,0,0,1,2,0,0,4,39000,40000,79000,10.5593,72.6358,26,S,0.0003291139240506329
PUDUCHERRY,2001,9,3,1,35,27,3,0,78,487000,487000,974000,11.93499371,79.83000037,445,S,0.0004568788501026694
PUDUCHERRY,2002,6,6,5,59,26,9,0,111,484000,489000,973000,11.93499371,79.83000037,625,S,0.0006423432682425488
PUDUCHERRY,2003,2,13,1,56,27,4,0,103,492000,498000,990000,11.93499371,79.83000037,548,S,0.0005535353535353535
PUDUCHERRY,2004,4,8,6,50,30,2,0,100,507000,512000,1019000,11.93499371,79.83000037,576,S,0.0005652600588812561
PUDUCHERRY,2005,6,3,4,60,26,6,0,105,527000,529000,1056000,11.93499371,79.83000037,576,S,0.0005454545454545455
PUDUCHERRY,2006,9,13,3,56,39,19,0,139,551000,547000,1098000,11.93499371,79.83000037,764,S,0.0006958105646630236
PUDUCHERRY,2007,9,14,2,89,32,17,0,163,579000,567000,1146000,11.93499371,79.83000037,897,S,0.0007827225130890052
PUDUCHERRY,2008,8,9,2,65,21,12,0,117,613000,590000,1203000,11.93499371,79.83000037,664,S,0.0005519534497090607
PUDUCHERRY,2009,1,13,0,53,16,10,0,93,651000,615000,1266000,11.93499371,79.83000037,488,S,0.00038546603475513426
PUDUCHERRY,2010,3,14,1,46,22,7,0,93,691000,640000,1331000,11.93499371,79.83000037,517,S,0.0003884297520661157
PUDUCHERRY,2011,7,9,1,35,16,10,0,78,730000,661000,1391000,11.93499371,79.83000037,463,S,0.00033285406182602444
PUDUCHERRY,2012,13,16,0,9,2,6,0,46,770000,681000,1451000,11.93499371,79.83000037,424,S,0.00029221226740179187
PUDUCHERRY,2013,17,25,1,12,8,8,0,71,812000,701000,1513000,11.93499371,79.83000037,628,S,0.00041506939854593525
PUDUCHERRY,2014,10,7,1,32,8,4,0,62,854000,719000,1573000,11.93499371,79.83000037,431,S,0.0002739987285441831
INDIA,2001,15694,13681,6738,33622,9656,49032,114,128537,532157000,496454000,1028611000,20.5937,78.9629,818604,ALL,0.0007958343824827851
INDIA,2002,15970,13613,6687,33497,10027,49102,76,128972,540936000,504611000,1045547000,20.5937,78.9629,821617,ALL,0.0007858250274736573
INDIA,2003,15357,12499,6078,32450,12220,49492,46,128142,549671000,512716000,1062387000,20.5937,78.9629,794361,ALL,0.0007477134038726001
INDIA,2004,17682,14697,6900,33966,9871,56867,89,140072,558354000,520763000,1079117000,20.5937,78.9629,886634,ALL,0.0008216291653268367
INDIA,2005,17701,14644,6673,33413,9759,56995,148,139333,566976000,528746000,1095722000,20.5937,78.9629,880857,ALL,0.000803905552685809
INDIA,2006,18725,16348,7481,35899,9822,61400,67,149742,575529000,536657000,1112186000,20.5937,78.9629,950401,ALL,0.000854534223592097
INDIA,2007,20139,19249,7955,37866,10783,74143,61,170196,584019000,544501000,1128520000,20.5937,78.9629,1058618,ALL,0.0009380586963456562
INDIA,2008,21001,21803,8043,39802,12084,79957,67,182757,592451000,552283000,1144734000,20.5937,78.9629,1129493,ALL,0.0009866859899330324
INDIA,2009,20928,24086,8242,38159,10891,88263,48,190617,600816000,559958500,1160737500,20.5937,78.9629,1167147,ALL,0.0007828929584059168
INDIA,2010,21665,28055,8248,40012,9881,92637,36,200534,609107000,567634000,1176741000,20.5937,78.9629,1237219,ALL,0.0010513944869771682
INDIA,2011,23634,33480,8476,42311,8408,97560,80,213949,617316000,575191000,1192507000,20.5937,78.9629,1346709,ALL,0.001129309094202382
INDIA,2012,24217,36102,8099,44624,8965,104542,59,226608,625446000,582670000,1208116000,20.5937,78.9629,1409991,ALL,0.0011670990202927534
INDIA,2013,32071,48272,7939,67224,11673,115833,31,283043,633505000,590076000,1223581000,20.5937,78.9629,1801818,ALL,0.00147257762256851
INDIA,2014,34639,53277,8302,77913,8374,119704,13,302222,641484000,597403000,1238887000,20.5937,78.9629,1950814,ALL,0.0015746504725612587
